_step_size,_drift_rate,drift_total_K,drift_err_rms_codes,drift_err_rms_codes_last20pct,drift_err_abs_max_codes,drift_in_dz_frac,drift_in_dz_frac_last20pct,v_heater_drift_mV,ss_acq_adc_mean,ss_acq_in_dz_frac,target_iv,dead_zone_half,_wall_s
8,100.0,2.5,7.6604177431782405,7.564390259630977,15.0,0.424,0.43,-11.480712890624911,2234.5,0.0,2237,4,22.03200151771307
8,250.0,6.25,10.054551208283739,9.777013859047148,19.0,0.202,0.23,-29.406738281249957,2234.5,0.0,2237,4,24.85144461132586
8,500.0,12.5,8.287219075178356,8.551608035919326,24.0,0.398,0.37,-60.4248046875,2234.5,0.0,2237,4,28.182863483205438
8,750.0,18.75,13.834666602415831,14.63762275781146,30.0,0.076,0.02,-92.85278320312496,2234.5,0.0,2237,4,30.27848158404231
8,1000.0,25.0,944.4892619823689,1427.2146019432396,1536.0,0.0,0.0,-100.50659179687493,2234.5,0.0,2237,4,30.21518114209175
8,1250.0,31.25,1493.2362652976253,1955.2759779632133,2004.0,0.0,0.0,-100.50659179687493,2234.5,0.0,2237,4,31.42889996431768
8,1500.0,37.5,1722.874567111605,2096.5693096103455,2121.0,0.0,0.0,-100.50659179687493,2234.5,0.0,2237,4,28.10774097777903
8,1750.0,43.75,1844.6087856236618,2150.3196413556752,2164.0,0.0,0.0,-100.50659179687493,2234.5,0.0,2237,4,28.062540501356125
8,2000.0,50.0,1919.210991527508,2175.537820861775,2184.0,0.0,0.0,-100.50659179687493,2234.5,0.0,2237,4,28.236349817365408
8,2500.0,62.5,2005.017221871174,2196.0913847105726,2200.0,0.0,0.0,-100.50659179687493,2234.5,0.0,2237,4,28.81622393615544
8,3000.0,75.0,2051.9129192049063,2200.8600273529437,2201.0,0.0,0.0,-100.50659179687493,2234.511111111111,0.0,2237,4,28.64130087941885
8,4000.0,100.0,2094.232765955112,2172.6761355526505,2201.0,0.0,0.0,-100.50659179687493,2234.5222222222224,0.0,2237,4,29.751066505908966
8,5000.0,125.0,1985.983153503574,1463.0709312948568,2201.0,0.0,0.0,-96.07543945312503,2234.5333333333333,0.0,2237,4,30.854276614263654
8,6500.0,162.5,2018.483768079397,2168.6709985611005,2201.0,0.002,0.0,-97.08251953125003,2234.5333333333333,0.0,2237,4,30.940866962075233
8,8000.0,200.0,2053.7383270514283,2187.3746615520627,2202.0,0.0,0.0,-97.686767578125,2234.5333333333333,0.0,2237,4,30.884039817377925
16,100.0,2.5,19.03853985997876,18.858685001876456,36.0,0.2,0.21,-11.682128906249979,2244.5,0.0,2237,4,26.409935066476464
16,250.0,6.25,18.145633083472177,17.442190229440797,39.0,0.238,0.26,-29.80957031249998,2244.5,0.0,2237,4,26.72433288767934
16,500.0,12.5,20.85660566822895,21.251588175945816,38.0,0.1,0.06,-60.82763671875002,2244.5,0.0,2237,4,29.42570562660694
16,750.0,18.75,23.18805727093152,21.213203435596427,51.0,0.188,0.23,-93.05419921875003,2244.5,0.0,2237,4,30.73277487233281
16,1000.0,25.0,25.276866894455097,22.46775467197379,56.0,0.16,0.19,-127.29492187500003,2244.5,0.0,2237,4,31.759710121899843
16,1250.0,31.25,20.74020250624376,20.768967234795284,63.0,0.17,0.09,-163.95263671875006,2244.5,0.0,2237,4,31.88274879939854
16,1500.0,37.5,236.8245637597587,499.8755045008707,705.0,0.04,0.0,-192.95654296874997,2244.5,0.0,2237,4,31.969512606039643
16,1750.0,43.75,982.9032658405404,1619.4557511707444,1762.0,0.0,0.0,-201.01318359374997,2244.5,0.0,2237,4,31.90426680445671
16,2000.0,50.0,1477.1488144394932,2004.5167048443373,2057.0,0.0,0.0,-201.01318359374997,2244.5,0.0,2237,4,30.386400293558836
16,2500.0,62.5,1829.9893835757628,2159.230823696253,2174.0,0.0,0.0,-201.01318359374997,2244.5,0.0,2237,4,30.303334238007665
16,3000.0,75.0,1959.973934520559,2191.683243536803,2197.0,0.0,0.0,-201.01318359374997,2244.5,0.0,2237,4,30.546364033594728
16,4000.0,100.0,2062.678820369279,2198.461452925659,2201.0,0.0,0.0,-201.01318359374997,2244.5,0.0,2237,4,30.861837478354573
16,5000.0,125.0,2084.0991948561373,2104.231586589271,2201.0,0.0,0.0,-201.01318359374997,2244.5,0.0,2237,4,31.04437519609928
16,6500.0,162.5,2001.7314774964198,1958.919663998501,2201.0,0.0,0.0,-194.56787109375006,2244.5,0.0,2237,4,31.75078278966248
16,8000.0,200.0,2045.509191863972,2198.413175451785,2202.0,0.0,0.0,-195.37353515625,2244.5,0.0,2237,4,31.39183303155005
32,100.0,2.5,41.541738047414434,41.611176383274724,74.0,0.108,0.1,-12.0849609375,2224.8,0.0,2237,4,30.741725699976087
32,250.0,6.25,42.998023210375614,42.78013557715777,77.0,0.05,0.04,-30.61523437500002,2224.7555555555555,0.0,2237,4,31.874726966023445
32,500.0,12.5,43.15161642395334,40.06594563965763,83.0,0.048,0.09,-60.4248046875,2224.7555555555555,0.0,2237,4,31.99326641112566
32,750.0,18.75,42.77845251993111,39.88959764149045,89.0,0.094,0.11,-93.45703125000004,2224.7555555555555,0.0,2237,4,32.653525253757834
32,1000.0,25.0,42.81406311015109,47.16873964820345,96.0,0.062,0.03,-126.48925781250009,2224.777777777778,0.0,2237,4,33.49466239660978
32,1250.0,31.25,48.911818612682964,44.14736685239563,102.0,0.098,0.13,-163.54980468750003,2224.777777777778,0.0,2237,4,33.68817390315235
32,1500.0,37.5,48.811207729372974,44.76695209638467,105.0,0.086,0.07,-203.02734374999997,2224.8333333333335,0.0,2237,4,33.435217352584004
32,1750.0,43.75,50.304453083201295,42.70632271689989,112.0,0.092,0.12,-245.7275390625,2224.8333333333335,0.0,2237,4,33.4414892885834
32,2000.0,50.0,49.643146556196456,30.908736628985665,115.0,0.096,0.09,-292.4560546875,2224.866666666667,0.0,2237,4,33.37880215421319
32,2500.0,62.5,499.2790542372071,1078.372890052416,1482.0,0.046,0.0,-364.16015625,2224.8333333333335,0.0,2237,4,33.21272918768227
32,3000.0,75.0,1193.97130367526,1991.0045605171276,2085.0,0.016,0.0,-393.9697265625,2224.788888888889,0.0,2237,4,32.76013376377523
32,4000.0,100.0,1853.5229650587014,2190.7767321203683,2198.0,0.0,0.0,-402.0263671875,2224.866666666667,0.0,2237,4,31.565433891490102
32,5000.0,125.0,2023.3549278364387,2197.6729260743055,2201.0,0.0,0.0,-402.0263671875,2224.866666666667,0.0,2237,4,31.71301833167672
32,6500.0,162.5,1985.323540886976,1587.4604404519816,2201.0,0.0,0.0,-390.7470703125,2224.8555555555554,0.0,2237,4,32.74117120541632
32,8000.0,200.0,2023.1096890677975,2165.864365559395,2202.0,0.0,0.0,-392.3583984375,2224.8,0.0,2237,4,32.60262904316187
56,100.0,2.5,75.76735444767753,74.51362291554477,134.0,0.056,0.03,-9.869384765625044,2214.9555555555557,0.0,2237,4,34.46829104423523
56,250.0,6.25,75.90509864297654,75.49072790747219,134.0,0.04,0.02,-29.60815429687502,2214.9555555555557,0.0,2237,4,34.50785491243005
56,500.0,12.5,74.12965668340843,73.2394019636971,143.0,0.046,0.02,-59.21630859375004,2214.9444444444443,0.0,2237,4,34.23028901964426
56,750.0,18.75,72.74165244205001,69.88054092521035,148.0,0.052,0.03,-91.64428710937511,2214.988888888889,0.0,2237,4,34.305145842954516
56,1000.0,25.0,73.72090612573885,68.93359123098114,155.0,0.038,0.02,-126.89208984375011,2214.988888888889,0.0,2237,4,34.966044114902616
56,1250.0,31.25,74.73740696598993,66.13954943904592,159.0,0.048,0.05,-164.95971679687506,2214.9555555555557,0.0,2237,4,34.8677095733583
56,1500.0,37.5,73.92728860170648,67.59001405533216,162.0,0.038,0.03,-203.02734375000009,2214.9444444444443,0.0,2237,4,34.96248337998986
56,1750.0,43.75,74.49985234884697,70.2343932842023,167.0,0.05,0.05,-245.32470703125009,2214.9777777777776,0.0,2237,4,34.81654190644622
56,2000.0,50.0,80.25866931366356,66.03483928957502,172.0,0.044,0.04,-291.85180664062506,2214.988888888889,0.0,2237,4,34.763909885659814
56,2500.0,62.5,79.6317650187411,57.22700411519023,181.0,0.062,0.08,-408.8745117187501,2214.9444444444443,0.0,2237,4,34.49415931478143
56,3000.0,75.0,354.37431340321496,774.2459428372873,1407.0,0.032,0.0,-523.0773925781251,2214.988888888889,0.0,2237,4,34.506092401221395
56,4000.0,100.0,1214.4361070060459,2114.071668605395,2179.0,0.018,0.0,-582.6965332031251,2214.988888888889,0.0,2237,4,32.47943969257176
56,5000.0,125.0,1611.1715271813862,2196.5163486757842,2201.0,0.004,0.0,-582.6965332031251,2214.988888888889,0.0,2237,4,30.437266467139125
56,6500.0,162.5,1934.5759230384317,2068.192150164002,2201.0,0.0,0.0,-582.6965332031251,2214.9777777777776,0.0,2237,4,31.02453606016934
56,8000.0,200.0,1982.566822076875,1801.0976514337028,2201.0,0.0,0.0,-582.6965332031251,2214.9666666666667,0.0,2237,4,31.51860479451716
