knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
goertzel_total,20,2000,0,0.7399177769252233,0.004632568359374978,0.0012206180745293522,1.5521558227164952e-05,5.713118810188588e-06,15729.55238095238
goertzel_total,20,1000,0,0.7403628104073662,0.004632568359374978,0.0011645521685305102,1.5204559082322129e-05,5.748161367637006e-06,15541.252380952381
goertzel_total,20,5000,0,0.7398870849609377,0.004632568359374978,0.0012330323715821687,1.5559422860451063e-05,5.729354880592007e-06,16098.352380952381
goertzel_total,20,500,0,0.7395782470703126,0.004833984375000044,0.001161809449801496,1.5805338142739105e-05,5.9398920249980195e-06,15926.857142857143
goertzel_total,68,1000,0,0.7336048235212055,0.005841064453125044,0.00137498395652559,1.994338129022583e-05,6.933559633600403e-06,165464.4714285714
goertzel_total,20,200,0,0.7386813534007353,0.0038269042968749334,0.0009634094851597035,1.6340343127801752e-05,4.746702418628269e-06,15832.905882352941
goertzel_total,68,200,0,0.7391715785435268,0.005438232421875022,0.0015990781360804434,1.5986295799467933e-05,6.618350365673453e-06,248669.49523809523
goertzel_total,68,500,0,0.7381414794921876,0.00604248046875,0.0015877023436801562,1.6827959705724023e-05,7.051751566645928e-06,250582.2380952381
goertzel_total,68,2000,0,0.7320970807756696,0.009265136718750067,0.0025867457348916567,2.062110695925976e-05,8.435509543840362e-06,115775.80952380953
goertzel_total,68,5000,0,0.7412183489118304,0.007855224609374933,0.0021559571025920477,1.4640768561657498e-05,7.073055229364603e-06,240883.29047619048
goertzel_total,20,100,0,0.7381651754940257,0.0032226562499999556,0.000583443841805017,1.6727033125895826e-05,4.5657869763118874e-06,15911.007843137255
goertzel_total,68,100,0,0.7385241378747763,0.005035400390625,0.001030700387173472,1.646267583535304e-05,5.45607202234992e-06,253111.33174224343
goertzel_total,260,1000,0,0.7423750523158483,0.006646728515624978,0.0019055571026647792,1.3801035943371066e-05,6.726082009293621e-06,3578892.580952381
goertzel_total,260,500,0,0.7389087785993304,0.0038269042968750444,0.001015657850330094,1.6254882714738513e-05,5.343269873957728e-06,4103410.995238095
goertzel_total,260,200,0,0.7386632428850447,0.004632568359374978,0.0012214769331968976,1.6441346560606388e-05,6.200587686097747e-06,4071362.7285714285
goertzel_total,260,100,0,0.7387291079661886,0.005236816406250067,0.0014449376975098976,1.630909579795976e-05,6.0966139000259635e-06,3994064.6147540985
